import time: self [us] | cumulative | imported package
import time:       567 |        567 |         pprint
import time:       332 |        899 |       _pytest._io.saferepr
import time:       888 |        888 |         _pytest.warning_types
import time:       288 |       1175 |       _pytest.deprecated
import time:       450 |        450 |         _pytest.outcomes
import time:       685 |       1135 |       _pytest.pathlib
import time:      3410 |      76290 |     _pytest._code.code
import time:       375 |      76664 |   _pytest._code
import time:      1567 |       1567 |                 math
import time:      1368 |       1368 |                 _random
import time:       542 |       3477 |               random
import time:       545 |       4022 |             tempfile
import time:       458 |        458 |             importlib.resources.abc
import time:       604 |       5083 |           importlib.resources._common
import time:       281 |        281 |           importlib.resources._functional
import time:       280 |       5643 |         importlib.resources
import time:        16 |       5659 |       importlib.resources.abc
import time:       207 |        207 |         importlib.resources._itertools
import time:       525 |        731 |       importlib.resources.readers
import time:       254 |        254 |             _pytest.assertion._typing
import time:       242 |        496 |           _pytest.assertion._compare_mapping
import time:       397 |        397 |             _pytest._io.pprint
import time:       361 |        757 |           _pytest.assertion._compare_sequence
import time:       295 |        295 |           _pytest.assertion._compare_set
import time:       267 |        267 |           _pytest.assertion._guards
import time:       151 |        151 |             _pytest.assertion.highlight
import time:       895 |       1046 |           _pytest.assertion.compare_text
import time:       289 |       3148 |         _pytest.assertion._compare_any
import time:       554 |        554 |             gettext
import time:      1222 |       1776 |           argparse
import time:       417 |        417 |           shlex
import time:       265 |        265 |           _pytest.config.exceptions
import time:       252 |        252 |                 iniconfig.exceptions
import time:       558 |        810 |               iniconfig._parse
import time:       402 |       1211 |             iniconfig
import time:       865 |       2076 |           _pytest.config.findpaths
import time:       523 |        523 |           _pytest.config.argparsing
import time:       449 |        449 |           _pytest.hookspec
import time:       254 |        254 |           _pytest.stash
import time:      1813 |       7570 |         _pytest.config
import time:       364 |      11081 |       _pytest.assertion.util
import time:      1618 |       1618 |               _pytest.mark.expression
import time:       815 |        815 |                 _pytest.raises
import time:       346 |        346 |                 _pytest.scope
import time:      1658 |       2818 |               _pytest.mark.structures
import time:       778 |       5213 |             _pytest.mark
import time:        20 |       5232 |           _pytest.mark.structures
import time:       738 |       5970 |         _pytest.nodes
import time:      1014 |       1014 |           _pytest.reports
import time:       855 |        855 |             bdb
import time:        55 |         55 |                 _datetime
import time:       251 |        306 |               datetime
import time:      1287 |       1593 |             _pytest.timing
import time:       833 |       3280 |           _pytest.runner
import time:      1466 |       5759 |         _pytest.main
import time:      2652 |      14379 |       _pytest.fixtures
import time:      2355 |      34204 |     _pytest.assertion.rewrite
import time:       225 |        225 |     _pytest.assertion.truncate
import time:       474 |      34902 |   _pytest.assertion
import time:       740 |        740 |   _pytest.cacheprovider
import time:      1350 |       1350 |   _pytest.capture
import time:       472 |        472 |   _pytest.debugging
import time:        57 |         57 |       _wmi
import time:       918 |        974 |     platform
import time:      2680 |       2680 |     _pytest.python
import time:       621 |        621 |           numbers
import time:      3828 |       4448 |         _decimal
import time:       406 |       4853 |       decimal
import time:       697 |       5550 |     _pytest.python_api
import time:       680 |       9882 |   _pytest.doctest
import time:       184 |        184 |   _pytest.freeze_support
import time:        64 |         64 |         _locale
import time:      1313 |       1377 |       locale
import time:       677 |        677 |       signal
import time:        62 |         62 |       msvcrt
import time:      1533 |       1533 |       _posixsubprocess
import time:      1462 |       1462 |       select
import time:       611 |        611 |       selectors
import time:       889 |       6606 |     subprocess
